name,compound_id,smiles,mc4r_ki_nm,mc4r_pchembl_ki,mc4r_functional_ic50_nm,mc4r_functional_pchembl,cyp3a4_ic50_nm,cyp3a4_pchembl,logd,caco2_permeability,mouse_auc,mouse_cl,mouse_half_life_h,mouse_cmax,source_document_chembl_id,source_title,source_doi,source_pubmed_id,source_year
CHEMBL397367,CHEMBL397367,CC(C)C[C@H](NC(=O)[C@H](C)N)c1cc(F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,26.0,7.58,,,8600.0,5.07,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL396433,CHEMBL396433,CC(C)C[C@H](NCC(=O)O)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,27.0,7.57,460.0,6.34,,,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL262320,CHEMBL262320,CC(C)C[C@H](NCCCC(=O)O)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,40.0,7.4,340.0,6.47,25000.0,4.6,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL237577,CHEMBL237577,CNCCN[C@@H](CC(C)C)c1cc(F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,49.0,7.31,,,11000.0,4.96,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL396432,CHEMBL396432,CCN(CC)CCN[C@@H](CC(C)C)c1cc(F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,56.0,7.25,,,37000.0,4.43,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL397368,CHEMBL397368,CC(C)C[C@H](NC(=O)C(C)(C)N)c1cc(F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,57.0,7.24,,,28000.0,4.55,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL237364,CHEMBL237364,CC(C)C[C@H](NCCN)c1cc(F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,60.0,7.22,,,8900.0,5.05,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL396431,CHEMBL396431,CC(C)C[C@H](NCCN(C)C)c1cc(F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,120.0,6.92,,,32000.0,4.5,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL393789,CHEMBL393789,CC(C)C[C@H](NCC(N)=O)c1cc(F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,140.0,6.85,,,720.0,6.14,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL235955,CHEMBL235955,CC(C)C[C@H](NCCCC(=O)O)c1cc(F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,240.0,6.62,,,21000.0,4.68,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
